word0,word1,word2,word3,word4,word5,word6,word7,word8
molecule,macromolecule,carbohydrate,polysaccharide,starch,sago,pearl sago,,
molecule,macromolecule,carbohydrate,polysaccharide,starch,amyloid,,,
molecule,macromolecule,carbohydrate,polysaccharide,starch,Otaheite arrowroot,,,
molecule,macromolecule,carbohydrate,jaggery,,,,,
molecule,macromolecule,carbohydrate,wood sugar,,,,,
molecule,macromolecule,lipid,fat,edible fat,cracklings,,,
molecule,macromolecule,lipid,fat,edible fat,lard,,,
molecule,macromolecule,lipid,fat,edible fat,marbling,,,
molecule,macromolecule,lipid,fat,edible fat,shortening,,,
molecule,macromolecule,lipid,fat,edible fat,suet,,,
molecule,macromolecule,lipid,fat,edible fat,drippings,,,
molecule,macromolecule,lipid,fat,edible fat,vegetable oil,cooking oil,,
molecule,macromolecule,lipid,fat,edible fat,vegetable oil,sweet oil,,
molecule,macromolecule,lipid,fat,edible fat,vegetable oil,canola oil,,
molecule,macromolecule,lipid,fat,edible fat,vegetable oil,coconut oil,,
molecule,macromolecule,lipid,fat,edible fat,vegetable oil,corn oil,,
molecule,macromolecule,lipid,fat,edible fat,vegetable oil,cottonseed oil,,
molecule,macromolecule,lipid,fat,edible fat,vegetable oil,olive oil,,
molecule,macromolecule,lipid,fat,edible fat,vegetable oil,palm oil,,
molecule,macromolecule,lipid,fat,edible fat,vegetable oil,peanut oil,,
molecule,macromolecule,lipid,fat,edible fat,vegetable oil,salad oil,,
molecule,macromolecule,lipid,fat,edible fat,vegetable oil,safflower oil,,
molecule,macromolecule,lipid,fat,edible fat,vegetable oil,sesame oil,,
molecule,macromolecule,lipid,fat,edible fat,vegetable oil,soybean oil,,
molecule,macromolecule,lipid,fat,edible fat,vegetable oil,sunflower oil,,
molecule,macromolecule,lipid,fat,edible fat,vegetable oil,walnut oil,,
molecule,macromolecule,lipid,fat,edible fat,vegetable oil,madia oil,,
molecule,macromolecule,lipid,fat,edible fat,vegetable oil,drying oil,,
molecule,macromolecule,lipid,fat,animal fat,bone fat,,,
molecule,macromolecule,lipid,fat,animal fat,butterfat,,,
molecule,macromolecule,lipid,fat,cocoa butter,,,,
molecule,macromolecule,lipid,fat,leaf fat,,,,
molecule,macromolecule,lipid,fat,myelin,,,,
molecule,macromolecule,lipid,fat,polyunsaturated fat,,,,
